Date,Open,High,Low,Close,Volume,Daily_Return,MA_3
2026-08-24,311.47,313.36,309.97,310.34,34673582.0,,
2026-08-25,310.79,313.59,308.21,309.9,25869807.0,-0.1417799832441835,
2026-08-26,310.3,315.43,308.8001,313.45,34024486.0,1.1455308163923927,311.22999999999996
2026-08-27,310.545,315.4,309.4001,314.58,32419233.0,0.3605040676343929,312.64333333333326
2026-08-28,316.845,322.37,315.4504,319.7,38649398.0,1.6275669146163185,315.91
2026-08-31,319.6,321.235,312.8,316.85,41242724.0,-0.8914607444479139,317.04333333333335
2026-09-01,316.98,327.3,314.73,325.13,53167388.0,2.6132239229919474,320.56
2026-09-02,326.865,328.4,323.53,324.96,33776370.0,-0.05228677759665512,322.31333333333333
2026-09-03,324.87,330.81,324.11,328.21,37225838.0,1.0001230920728688,326.09999999999997
2026-09-04,328.305,328.93,317.86,319.97,39606884.0,-2.510587733463321,324.38
