Date,Open,High,Low,Close,Volume,Daily_Return,MA_3
2026-05-13,385.595,403.7,385.0,402.62,28144555.0,,
2026-05-14,397.28,402.93,395.84,401.07,21136716.0,-0.384978391535451,
2026-05-15,396.315,399.5399,393.18,396.78,20309702.0,-1.0696387164335408,400.1566666666667
2026-05-18,395.685,408.61,394.53,396.94,26837196.0,0.04032461313574487,398.2633333333333
2026-05-19,396.96,397.15,386.11,387.66,39545672.0,-2.3378848188642998,393.79333333333335
2026-05-20,387.7,393.8599,382.9,388.91,30504055.0,0.32244750554608625,391.1700000000001
2026-05-21,385.7,392.5,383.02,387.66,24852843.0,-0.32141112339615363,388.07666666666665
2026-05-22,387.345,388.74,381.7716,382.97,20442123.0,-1.209823040808955,386.5133333333333
2026-05-26,384.51,389.2599,382.6,388.88,27747388.0,1.5432018173747286,386.50333333333333
2026-05-27,386.665,393.88,385.9,388.83,23087287.0,-0.012857436741409156,386.89333333333326
2026-05-28,388.0,391.87,385.16,390.13,24357455.0,0.33433634236041954,389.28
2026-05-29,385.24,385.24,378.46,380.34,44415846.0,-2.5094199369441017,386.43333333333334
2026-06-01,376.52,378.56,373.52,376.37,28672120.0,-1.043802913182934,382.28
2026-06-02,366.59,373.54,358.44,361.85,50412300.0,-3.8579057842017095,372.8533333333333
2026-06-03,362.03,366.45,358.08,358.99,55441583.0,-0.790382755285346,365.7366666666667
2026-06-04,358.9,373.2499,358.21,372.19,44055520.0,3.676982645756155,364.3433333333333
2026-06-05,366.34,372.08,364.1207,368.53,37471206.0,-0.9833687095300858,366.57
2026-06-08,365.18,366.2,360.5309,363.31,27942464.0,-1.416438281822363,368.01
2026-06-09,367.09,372.08,357.3,364.26,29535072.0,0.261484682502533,365.3666666666666
2026-06-10,363.19,368.555,355.2,356.38,32357132.0,-2.163289957722503,361.31666666666666
2026-06-11,355.925,358.8,346.36,357.77,35538165.0,0.390033110724497,359.47
2026-06-12,362.62,366.57,354.94,359.68,24731019.0,0.5338625373843664,357.9433333333333
2026-06-15,367.93,372.99,366.55,369.35,27727493.0,2.6885008896797125,362.26666666666665
2026-06-16,369.6,376.0,367.06,373.25,24876095.0,1.0559090293759343,367.4266666666667
2026-06-17,369.125,372.33,362.02,363.79,24543644.0,-2.5344943067649006,368.7966666666667
2026-06-18,365.75,369.48,358.67,368.03,44470070.0,1.1655075730503839,368.3566666666666
2026-06-22,357.945,358.92,341.7219,349.68,52814764.0,-4.986006575550894,360.5
2026-06-23,340.69,349.29,340.2,346.13,34007652.0,-1.0152139098604462,354.6133333333334
2026-06-24,349.035,353.476,341.93,345.29,44997277.0,-0.2426833848553911,347.03333333333336
2026-06-25,336.73,345.57,335.84,343.71,44564576.0,-0.4575863766688948,345.04333333333335
2026-06-26,342.55,346.36,330.2,337.39,114706326.0,-1.83875941927788,342.12999999999994
2026-06-29,341.825,354.35,340.67,353.65,34213932.0,4.819348528409262,344.9166666666667
2026-06-30,353.865,358.62,350.4,357.37,35237231.0,1.051887459352474,349.46999999999997
2026-07-01,358.37,362.97,356.43,361.21,26736445.0,1.07451660743767,357.41
2026-07-02,359.48,364.205,353.42,359.91,25999346.0,-0.35990144237423305,359.49666666666667
2026-07-06,361.55,367.93,357.3805,366.46,26915808.0,1.8198994192992535,362.52666666666664
2026-07-07,369.07,373.16,365.5,367.03,24045581.0,0.1555422147028196,364.46666666666664
2026-07-08,364.76,367.84,358.02,361.92,22094769.0,-1.3922567637522754,365.1366666666666
2026-07-09,354.31,359.65,351.08,358.89,24729093.0,-0.8372015915119491,362.6133333333333
2026-07-10,357.525,357.82,352.75,357.18,18146146.0,-0.47646911309872086,359.33
2026-07-13,356.19,358.13,351.75,352.51,15901732.0,-1.3074640237415336,356.1933333333333
2026-07-14,351.195,360.16,351.09,359.51,18259355.0,1.9857592692405834,356.40000000000003
2026-07-15,357.97,373.65,357.76,370.92,28284564.0,3.173764290283998,360.98
2026-07-16,373.06,375.27,352.3001,354.46,41158466.0,-4.437614579963345,361.62999999999994
2026-07-17,346.0,348.52,341.36,346.77,29959283.0,-2.1694972634429877,357.38333333333327
